Наименование;Начальная цена;Максимальная цена;Тип двигателя;Объём двигателя;Мощность двигателя;Коробка передач;Тип привода;Количество комплектаций
Mercedes-Benz EQS SUV;89 000 000;223 000 000;Электричество;;360-544 л.с.;Автомат;Полный/Задний;1 комплектация
Porsche Cayenne;16 990 000;19 330 000;Электричество;;442-1156 л.с.;Автомат;Полный;3 комплектации
Volkswagen Bora;12 920 000;14 100 000;Бензин;1,5 л;160 л.с.;Робот;Передний;2 комплектации
Mercedes-Benz G-Класс;149 000 000;218 000 000;Бензин/Дизель/Электричество;3-4 л;367-588 л.с.;Автомат/Робот;Полный;2 комплектации
Xiaomi YU7;28 500 000;32 000 000;Электричество;;320-690 л.с.;Автомат;Полный/Задний;3 комплектации
Deepal S05;10 700 000;11 950 000;Гибрид/Электричество;217-272 л.с.;Автомат;Задний;9 комплектаций
Voyah Free Plus;19 900 000;22 790 000;Гибрид;1,5 л;292-476 л.с.;Автомат;Полный/Задний;2 комплектации
Nissan Patrol;31 790 000;46 900 000;Бензин;4-5,6 л;275-428 л.с.;Автомат;Полный;1 комплектация
Zeekr 007;17 800 000;17 800 000;Электричество;;422-646 л.с.;Автомат;Полный/Задний;3 комплектации
Kia Carnival;21 990 000;29 390 000;Бензин;3,5 л;249 л.с.;Автомат;Передний;2 комплектации
Jetour T1;14 990 000;16 590 000;Бензин;2 л;254 л.с.;Автомат;Полный;2 комплектации
Avatr 12;21 990 000;21 990 000;Гибрид/Электричество;314-578 л.с.;Автомат;Полный/Задний;7 комплектаций
Jetta VS7;9 850 000;10 450 000;Бензин;1,4 л;150 л.с.;Автомат;Передний;2 комплектации
BMW XM;99 999 999;99 999 999;Гибрид;3-4,4 л;313-585 л.с.;Автомат;Полный;1 комплектация
GAC M8;15 990 000;15 990 000;Бензин;2 л;231 л.с.;Автомат;Передний;4 комплектации
MG RX9;43 990 000;43 990 000;Бензин;2 л;215 л.с.;Автомат;Полный;1 комплектация
Lexus ES;14 459 900;15 915 900;Гибрид/Электричество;247-342 л.с.;Автомат/Вариатор;Полный;3 комплектации
Great Wall Poer;11 160 000;12 010 000;Бензин;2 л;218 л.с.;Автомат/Механика;Полный;2 комплектации
Jetta VS8;16 390 000;16 990 000;Бензин;1,4 л;150 л.с.;Автомат;Передний;2 комплектации
Zeekr 009;46 990 000;62 990 000;Электричество;;544-789 л.с.;Автомат;Полный;2 комплектации
JAC JS6;7 790 000;10 990 000;Бензин;1,5 л;174 л.с.;Робот;Передний;2 комплектации
Nissan Patrol Y63;60 000 000;69 990 000;Бензин;3,5-3,8 л;316-495 л.с.;Автомат;Полный;5 комплектаций
Skoda Superb;18 990 000;20 990 000;Бензин;2 л;190-265 л.с.;Робот;Передний/Полный;4 комплектации
GAC S7;19 990 000;19 990 000;Гибрид;1,5 л;501 л.с.;Автомат;Полный;2 комплектации
Chery Arrizo 8;9 290 000;11 990 000;Бензин;1,6-2 л;150-197 л.с.;Автомат/Робот;Передний;3 комплектации
Mercedes-Benz S-Класс;56 500 000;116 898 000;Бензин/Дизель;2,9-4 л;249-503 л.с.;Автомат;Полный;1 комплектация
JAC T8 Pro;14 890 000;14 890 000;Бензин;2,4 л;204 л.с.;Механика;Полный
BMW iX3;36 490 000;36 490 000;Электричество;;320-470 л.с.;Автомат;Полный/Задний;1 комплектация
Denza N9;13 690 000;14 990 000;Гибрид;2 л;925 л.с.;Вариатор;Полный;2 комплектации
Chery Tiggo 9;12 910 500;12 910 500;Бензин;2 л;245 л.с.;Автомат;Полный;1 комплектация
Great Wall Wingle 7;76 605 000;99 125 000;Бензин/Дизель;2-2,4 л;143-149 л.с.;Механика;Полный;1 комплектация
Porsche Taycan Cross Turismo;10 000 000;10 999 000;Электричество;;408-775 л.с.;Автомат;Полный;11 комплектаций
ГАЗ ГАЗель;11 435 000;12 700 000;Бензин/Дизель/Газ-бензин;2,7-2,9 л;100-120 л.с.;Механика;Полный/Задний;13 комплектаций
ГАЗ Соболь;5 490 000;5 590 000;Бензин;2,7 л;107 л.с.;Механика;Полный/Задний
ВАЗ (Lada) Granta Лифтбек;13 490 000;16 890 000;Бензин;1,6 л;87-106 л.с.;Автомат/Механика;Передний;4 комплектации
Hyundai Custin;25 630 000;27 410 000;Бензин;1,5 л;170 л.с.;Автомат;Передний;2 комплектации
